WeekStartDate,Channel,CampaignName,Spend,Impressions,Clicks,Leads,Opportunities,RevenueAttributed,CAC,ROAS,Notes,DataQualityFlag
2025-04-14,LinkedIn,Launch - SMB (Platform),"$15,374.28","337,875","1,515",35,8,"$23,057",$439.27,1.50,,OK
2025-04-07,SEO,Brand - SMB (Core),"$2,141.70","952,363","17,973",0,0,"$9,087",,4.24,No leads recorded; verify form tracking and CRM sync.,OK
2025-04-14,Affiliate,Retargeting - B2B SaaS (Growth),$897.39,"49,011",482,10,3,"$1,239",$89.74,1.38,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-04-21,LinkedIn,Prospecting - Healthcare (Teams),"$12,396.76","262,174","1,064",28,5,"$43,916",$442.74,3.54,,OK
2025-04-28,Meta,Content - Finance (Pro),"$13,251.66","937,139","10,782",209,47,"$57,667",$63.41,4.35,,OK
2025-05-12,LinkedIn,Partner - Ecommerce (Platform),"$4,696.02","155,610","1,988",19,5,"$8,008",$247.16,1.71,,OK
2025-05-12,LinkedIn,Retargeting - B2B SaaS (Growth),"$9,028.48","261,217","4,706",45,19,"$77,193",$200.63,8.55,,OK
2025-05-19,Google Ads,Prospecting - Healthcare (Growth),"$7,670.25","422,980","12,662",328,90,"$28,272",$23.38,3.69,,OK
2025-05-26,SEO,Content - SMB (Teams),"$2,202.97","1,153,213","37,963",0,0,"$13,391",,6.08,No leads recorded; verify form tracking and CRM sync.,OK
2025-06-02,Google Ads,Partner - Education (Core),"$6,279.35","589,438","28,385",544,116,"$57,742",$11.54,9.20,,OK
2025-06-16,LinkedIn,Prospecting - B2B SaaS (Teams),"$9,615.15","336,470","4,405",101,27,"$8,629",$95.20,0.90,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-06-16,Google Ads,Webinar - Ecommerce (Core),"$15,598.89","1,705,255","54,811",1,0,"$70,240","$15,598.89",4.50,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-06-23,Email,Retargeting - Mid-Market (Core),"$1,489.87","392,166","12,625",448,85,"$2,713",$3.33,1.82,,OK
2025-06-30,Google Ads,Content - Mid-Market (Core),"$7,969.30","551,386","27,704",1,0,"$11,581","$7,969.30",1.45,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-07-07,Meta,Brand - B2B SaaS (Teams),"$2,545.44","298,582","6,252",2,0,"$4,087","$1,272.72",1.61,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-07-21,Google Ads,Demand Gen - Healthcare (Core),"$8,443.48","703,786","31,025","1,037",286,"$14,261",$8.14,1.69,,OK
2025-07-21,SEO,Prospecting - Enterprise (Platform),"$1,672.79","524,704","28,148",765,261,"$23,070",$2.19,13.79,,OK
2025-07-28,Email,Launch - B2B SaaS (Pro),"$1,894.10","337,686","7,925",462,199,"$2,677",$4.10,1.41,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-08-04,Email,Launch - Enterprise (Teams),"$1,999.69","360,640","5,119",211,38,"$17,512",$9.48,8.76,,OK
2025-08-11,SEO,Newsletter - Finance (Core),$825.45,"791,724","41,677",434,134,"$5,558",$1.90,6.73,,OK
2025-08-18,Meta,Prospecting - B2B SaaS (Platform),"$3,282.56","241,722","2,579",1,0,"$11,199","$3,282.56",3.41,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-08-25,LinkedIn,Prospecting - Education (Core),"$8,592.57","195,145","1,213",20,8,"$35,135",$429.63,4.09,,OK
2025-09-01,LinkedIn,Demand Gen - Finance (Growth),"$10,823.29","313,280","3,167",41,8,"$46,907",$263.98,4.33,,OK
2025-09-08,Affiliate,Promo - Ecommerce (Teams),"$3,766.02","240,666","2,308",48,18,"$39,527",$78.46,10.50,,OK
2025-09-15,LinkedIn,Partner - Education (Pro),"$9,439.30","257,683","3,076",52,23,"$21,160",$181.53,2.24,,OK
2025-09-22,Google Ads,Promo - Enterprise (Pro),"$17,226.72","851,968","40,128",992,194,"$143,177",$17.37,8.31,,OK
2025-09-29,LinkedIn,Content - Mid-Market (Teams),"$16,238.41","322,668","3,654",37,9,"$94,114",$438.88,5.80,,OK
2025-10-06,Email,Partner - Healthcare (Pro),"$1,814.36","413,635","16,258",347,125,"$14,710",$5.23,8.11,,OK
2025-10-13,SEO,Retargeting - Ecommerce (Platform),"$1,899.70","877,530","55,756",540,206,"$322,109",$3.52,169.56,Attribution anomaly detected (duplicate conversions / mis-tagged source). Review tracking.,Suspect attribution
2025-10-20,SEO,Webinar - B2B SaaS (Pro),"$2,920.51","832,054","49,958",610,144,"$17,889",$4.79,6.13,,OK
2025-10-27,LinkedIn,Demand Gen - Enterprise (Platform),"$9,229.27","232,754","2,834",25,10,"$29,790",$369.17,3.23,,OK
2025-11-03,Affiliate,Demand Gen - Education (Growth),"$3,031.13","124,768","1,444",18,5,"$10,410",$168.40,3.43,,OK
2025-11-10,Google Ads,Content - Finance (Platform),"$13,263.08","727,523","14,689",387,122,"$18,227",$34.27,1.37,,OK
2025-11-17,Affiliate,Promo - Ecommerce (Growth),"$3,377.41","186,873","2,232",37,12,"$25,642",$91.28,7.59,,OK
2025-11-24,Google Ads,Promo - B2B SaaS (Pro),"$6,190.05","599,403","25,256",660,173,"$49,858",$9.38,8.05,,OK
2025-12-01,Affiliate,Retargeting - Finance (Pro),"$1,453.38","58,668","1,024",30,6,"$7,413",$48.45,5.10,,OK
2025-12-08,Affiliate,Newsletter - Mid-Market (Core),"$2,008.55","144,296","1,230",33,14,"$7,808",$60.87,3.89,,OK
2025-12-15,SEO,Partner - SMB (Teams),"$1,962.25","1,647,378","37,582",638,269,"$2,695",$3.08,1.37,,OK
2025-12-22,Meta,Retargeting - Finance (Platform),"$3,294.43","384,956","7,600",77,19,"$599,639",$42.78,182.02,Attribution anomaly detected (duplicate conversions / mis-tagged source). Review tracking.,Suspect attribution
2025-12-29,Affiliate,Partner - Education (Growth),"$1,037.12","72,331","1,382",18,4,"$4,005",$57.62,3.86,,OK
2025-01-13,LinkedIn,Demand Gen - Enterprise (Growth),"$14,174.28","430,074","5,125",70,13,"$20,925",$202.49,1.48,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-01-13,Google Ads,Retargeting - Enterprise (Teams),"$4,158.38","286,505","12,227",159,37,"$23,856",$26.15,5.74,,OK
2025-01-20,Google Ads,Partner - Enterprise (Pro),"$5,665.47","309,816","12,582",358,80,"$14,392",$15.83,2.54,,OK
2025-01-27,SEO,Prospecting - Education (Growth),"$1,194.43","348,798","6,365",81,18,"$10,979",$14.75,9.19,,OK
2025-02-03,Meta,Retargeting - Enterprise (Platform),"$4,333.42","457,229","7,681",89,36,"$35,207",$48.69,8.12,,OK
2025-02-10,LinkedIn,Launch - Mid-Market (Growth),"$14,349.52","302,438","1,641",41,12,"$88,790",$349.99,6.19,,OK
2025-02-17,LinkedIn,Content - Healthcare (Growth),"$12,811.90","320,382","1,593",29,6,"$22,567",$441.79,1.76,,OK
2025-02-24,Email,Prospecting - Healthcare (Growth),$444.49,"106,686","1,495",84,22,"$4,957",$5.29,11.15,,OK
2025-03-03,SEO,Prospecting - Finance (Platform),$619.25,"196,220","7,652",173,76,"$8,110",$3.58,13.10,,OK
2025-03-10,LinkedIn,Partner - Education (Teams),"$4,479.43","121,845","1,612",14,3,"$35,122",$319.96,7.84,,OK
2025-03-17,Meta,Launch - Mid-Market (Teams),"$8,864.86","780,105","6,545",66,29,"$27,261",$134.32,3.08,,OK
2025-03-24,Affiliate,Content - Enterprise (Pro),"$7,011.60","484,187","7,175",81,32,"$37,749",$86.56,5.38,,OK
2025-03-31,Affiliate,Demand Gen - Mid-Market (Pro),"$2,786.53","105,624","1,093",10,3,"$10,502",$278.65,3.77,,OK
2025-04-07,Google Ads,Promo - Enterprise (Teams),"$2,491.09","153,926","7,101",99,25,"$28,242",$25.16,11.34,,OK
2025-04-14,LinkedIn,Launch - Education (Core),"$5,216.38","135,391","1,070",19,8,"$750,734",$274.55,143.92,Attribution anomaly detected (duplicate conversions / mis-tagged source). Review tracking.,Suspect attribution
2025-04-28,Email,Promo - Finance (Platform),"$1,458.85","459,252","12,024",2,1,"$5,390",$729.43,3.69,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-04-28,Google Ads,Promo - B2B SaaS (Pro),"$10,881.35","552,108","23,560",644,226,"$46,862",$16.90,4.31,,OK
2025-05-05,Affiliate,Promo - Enterprise (Pro),"$1,703.04","77,412",554,9,4,"$15,266",$189.23,8.96,,OK
2025-05-12,Email,Launch - B2B SaaS (Platform),$887.40,"203,343","6,215",154,51,"$11,169",$5.76,12.59,,OK
2025-05-19,Affiliate,Promo - Ecommerce (Core),"$3,730.52","265,848","5,448",56,14,"$20,654",$66.62,5.54,,OK
2025-06-09,SEO,Brand - Education (Platform),"$1,845.31","978,732","32,507",824,315,"$18,581",$2.24,10.07,,OK
2025-06-02,Email,Content - SMB (Teams),"$3,008.30","558,780","20,799",2,0,"$4,168","$1,504.15",1.39,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-06-09,LinkedIn,Newsletter - Healthcare (Pro),"$9,569.27","299,720","1,870",46,18,"$57,921",$208.03,6.05,,OK
2025-06-16,LinkedIn,Partner - Finance (Platform),"$3,033.70","113,208","1,210",21,9,"$24,248",$144.46,7.99,,OK
2025-06-23,Meta,Launch - B2B SaaS (Growth),"$3,162.01","347,888","2,663",15,5,"$14,712",$210.80,4.65,,OK
2025-07-07,SEO,Prospecting - Finance (Platform),$0.00,"91,992","3,017",55,17,"$4,735",$0.00,,No paid spend (organic/owned activity).,OK
2025-07-07,Google Ads,Prospecting - Enterprise (Pro),"$11,209.17","720,995","27,120",413,103,"$25,061",$27.14,2.24,,OK
2025-07-14,Google Ads,Webinar - SMB (Pro),"$10,355.05","698,895","15,201",312,98,"$74,210",$33.19,7.17,,OK
2025-07-21,Google Ads,Prospecting - SMB (Platform),"$9,892.25","723,758","18,414",366,140,"$61,557",$27.03,6.22,,OK
2025-07-28,Google Ads,Launch - Enterprise (Pro),"$5,831.78","515,480","14,438",404,166,"$41,170",$14.44,7.06,,OK
2025-08-04,LinkedIn,Retargeting - Healthcare (Core),"$11,039.89","331,430","1,764",25,7,"$34,223",$441.60,3.10,,OK
2025-08-11,Email,Brand - Ecommerce (Pro),"$1,541.53","451,167","20,290","1,055",240,"$5,835",$1.46,3.79,,OK
2025-08-18,Affiliate,Newsletter - Healthcare (Growth),"$2,924.81","137,678","1,250",34,14,"$324,714",$86.02,111.02,Attribution anomaly detected (duplicate conversions / mis-tagged source). Review tracking.,Suspect attribution
2025-08-25,Affiliate,Prospecting - Mid-Market (Pro),"$4,436.78","169,419","3,638",75,32,"$40,236",$59.16,9.07,,OK
2025-09-01,Email,Demand Gen - Ecommerce (Platform),"$1,448.35","476,864","24,228","1,624",297,"$8,035",$0.89,5.55,,OK
2025-09-15,SEO,Content - Education (Growth),"$2,009.69","547,007","25,041",205,74,"$2,551",$9.80,1.27,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-09-15,Affiliate,Partner - SMB (Platform),"$3,692.56","172,490","1,714",40,13,"$19,446",$92.31,5.27,,OK
2025-09-22,SEO,Demand Gen - SMB (Teams),"$1,797.14","938,484","16,098",165,32,"$5,447",$10.89,3.03,,OK
2025-09-29,Meta,Newsletter - SMB (Pro),"$8,545.86","887,461","13,473",242,46,"$32,525",$35.31,3.81,,OK
2025-10-06,SEO,Prospecting - Mid-Market (Pro),"$1,580.10","1,018,584","22,245",0,0,"$7,427",,4.70,No leads recorded; verify form tracking and CRM sync.,OK
2025-10-13,LinkedIn,Partner - SMB (Platform),"$3,638.76","109,535","1,171",13,5,"$10,599",$279.90,2.91,,OK
2025-10-20,SEO,Prospecting - Education (Pro),$476.49,"292,800","10,585",89,16,"$5,410",$5.35,11.35,,OK
2025-10-27,Affiliate,Newsletter - SMB (Core),"$8,455.52","551,299","4,438",109,44,"$65,926",$77.57,7.80,,OK
2025-11-03,Google Ads,Brand - Ecommerce (Teams),"$4,506.23","349,285","17,353",252,68,"$14,394",$17.88,3.19,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-11-10,Google Ads,Retargeting - Healthcare (Teams),"$7,042.34","632,596","30,150",462,181,"$54,819",$15.24,7.78,,OK
2025-11-24,Meta,Retargeting - Enterprise (Pro),"$6,984.83","522,830","5,629",1,0,"$32,611","$6,984.83",4.67,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
